fare_id,route_id,origin_id,destination_id
150,10B,1_01,2_01
150,10B,1_01,3_01
150,10B,1_01,4_01
150,10B,1_01,5_01
150,10B,10_01,11_01
150,10B,10_01,12_01
150,10B,10_02,9_01
150,10B,11_01,12_01
150,10B,11_01,13_01
150,10B,11_01,14_01
150,10B,11_01,15_01
150,10B,11_01,16_01
150,10B,11_02,10_02
150,10B,11_02,9_01
150,10B,12_01,13_01
150,10B,12_01,14_01
150,10B,12_01,15_01
150,10B,12_01,16_01
150,10B,12_02,10_02
150,10B,12_02,11_02
150,10B,12_02,9_01
150,10B,13_01,14_01
150,10B,13_01,15_01
150,10B,13_01,16_01
150,10B,13_02,11_02
150,10B,13_02,12_02
150,10B,14_01,15_01
150,10B,14_01,16_01
150,10B,14_01,17_01
150,10B,14_01,18_01
150,10B,14_01,19_01
150,10B,14_01,20_01
150,10B,14_01,21_01
150,10B,14_01,22_01
150,10B,14_01,23_01
150,10B,14_02,11_02
150,10B,14_02,12_02
150,10B,14_02,13_02
150,10B,15_01,11_02
150,10B,15_01,12_02
150,10B,15_01,13_02
150,10B,15_01,14_02
150,10B,15_01,16_01
150,10B,15_01,17_01
150,10B,15_01,18_01
150,10B,15_01,19_01
150,10B,15_01,20_01
150,10B,15_01,21_01
150,10B,15_01,22_01
150,10B,15_01,23_01
150,10B,16_01,11_02
150,10B,16_01,12_02
150,10B,16_01,13_02
150,10B,16_01,14_02
150,10B,16_01,15_01
150,10B,16_01,17_01
150,10B,16_01,18_01
150,10B,16_01,19_01
150,10B,16_01,20_01
150,10B,16_01,21_01
150,10B,16_01,22_01
150,10B,16_01,23_01
150,10B,17_01,14_02
150,10B,17_01,15_01
150,10B,17_01,16_01
150,10B,17_01,18_01
150,10B,17_01,19_01
150,10B,17_01,20_01
150,10B,17_01,21_01
150,10B,17_01,22_01
150,10B,17_01,23_01
150,10B,18_01,14_02
150,10B,18_01,15_01
150,10B,18_01,16_01
150,10B,18_01,17_01
150,10B,18_01,19_01
150,10B,18_01,20_01
150,10B,18_01,21_01
150,10B,18_01,22_01
150,10B,18_01,23_01
150,10B,18_01,24_01
150,10B,19_01,14_02
150,10B,19_01,15_01
150,10B,19_01,16_01
150,10B,19_01,17_01
150,10B,19_01,20_01
150,10B,19_01,21_01
150,10B,19_01,22_01
150,10B,19_01,23_01
150,10B,19_01,24_01
150,10B,2_01,1_01
150,10B,2_01,3_01
150,10B,2_01,4_01
150,10B,2_01,5_01
150,10B,20_01,14_02
150,10B,20_01,15_01
150,10B,20_01,16_01
150,10B,20_01,17_01
150,10B,20_01,21_01
150,10B,20_01,22_01
150,10B,20_01,23_01
150,10B,20_01,24_01
150,10B,21_01,14_02
150,10B,21_01,15_01
150,10B,21_01,16_01
150,10B,21_01,17_01
150,10B,21_01,18_01
150,10B,21_01,19_01
150,10B,21_01,20_01
150,10B,21_01,22_01
150,10B,21_01,23_01
150,10B,21_01,24_01
150,10B,22_01,14_02
150,10B,22_01,15_01
150,10B,22_01,16_01
150,10B,22_01,17_01
150,10B,22_01,18_01
150,10B,22_01,19_01
150,10B,22_01,20_01
150,10B,22_01,21_01
150,10B,22_01,23_01
150,10B,22_01,24_01
150,10B,23_01,14_02
150,10B,23_01,15_01
150,10B,23_01,16_01
150,10B,23_01,17_01
150,10B,23_01,18_01
150,10B,23_01,19_01
150,10B,23_01,20_01
150,10B,23_01,21_01
150,10B,23_01,22_01
150,10B,23_01,24_01
150,10B,23_01,25_01
150,10B,23_01,26_01
150,10B,23_01,27_01
150,10B,24_01,25_01
150,10B,24_01,26_01
150,10B,24_01,27_01
150,10B,24_02,18_01
150,10B,24_02,19_01
150,10B,24_02,20_01
150,10B,24_02,21_01
150,10B,24_02,22_01
150,10B,24_02,23_01
150,10B,25_01,26_01
150,10B,25_01,27_01
150,10B,25_02,23_01
150,10B,25_02,24_02
150,10B,26_01,23_01
150,10B,26_01,24_02
150,10B,26_01,25_02
150,10B,26_01,27_01
150,10B,26_01,28_01
150,10B,26_01,29_01
150,10B,26_01,30_01
150,10B,27_01,28_01
150,10B,27_01,29_01
150,10B,27_01,30_01
150,10B,27_02,23_01
150,10B,27_02,24_02
150,10B,27_02,25_02
150,10B,27_02,26_01
150,10B,28_01,29_01
150,10B,28_01,30_01
150,10B,28_02,26_01
150,10B,28_02,27_02
150,10B,29_01,30_01
150,10B,29_01,31_01
150,10B,29_01,32_01
150,10B,29_01,34_01
150,10B,29_01,35_01
150,10B,29_01,36_01
150,10B,29_01,37_01
150,10B,29_02,26_01
150,10B,29_02,27_02
150,10B,29_02,28_02
150,10B,3_01,1_01
150,10B,3_01,2_01
150,10B,3_01,4_01
150,10B,3_01,5_01
150,10B,30_01,31_01
150,10B,30_01,32_01
150,10B,30_01,34_01
150,10B,30_01,35_01
150,10B,30_01,36_01
150,10B,30_01,37_01
150,10B,30_02,26_01
150,10B,30_02,27_02
150,10B,30_02,28_02
150,10B,30_02,29_02
150,10B,31_01,32_01
150,10B,31_01,34_01
150,10B,31_01,35_01
150,10B,31_01,36_01
150,10B,31_01,37_01
150,10B,32_01,34_01
150,10B,32_01,35_01
150,10B,32_01,36_01
150,10B,32_01,37_01
150,10B,33_01,29_02
150,10B,33_01,30_02
150,10B,34_01,35_01
150,10B,34_01,36_01
150,10B,34_01,37_01
150,10B,34_02,29_02
150,10B,34_02,30_02
150,10B,34_02,33_01
150,10B,35_01,36_01
150,10B,35_01,37_01
150,10B,35_02,29_02
150,10B,35_02,30_02
150,10B,35_02,33_01
150,10B,35_02,34_02
150,10B,36_01,37_01
150,10B,36_02,29_02
150,10B,36_02,30_02
150,10B,36_02,33_01
150,10B,36_02,34_02
150,10B,36_02,35_02
150,10B,37_02,29_02
150,10B,37_02,30_02
150,10B,37_02,33_01
150,10B,37_02,34_02
150,10B,37_02,35_02
150,10B,37_02,36_02
150,10B,4_01,1_01
150,10B,4_01,2_01
150,10B,4_01,3_01
150,10B,4_01,5_01
150,10B,4_01,6_01
150,10B,4_01,7_01
150,10B,5_01,6_01
150,10B,5_01,7_01
150,10B,5_02,1_01
150,10B,5_02,2_01
150,10B,5_02,3_01
150,10B,5_02,4_01
150,10B,6_01,7_01
150,10B,6_02,4_01
150,10B,6_02,5_02
150,10B,7_01,4_01
150,10B,7_01,5_02
150,10B,7_01,6_02
150,10B,7_01,8_01
150,10B,7_01,9_01
150,10B,8_01,9_01
150,10B,8_02,7_01
150,10B,9_01,10_01
150,10B,9_01,11_01
150,10B,9_01,12_01
150,10B,9_01,7_01
150,10B,9_01,8_02
160,10B,11_01,17_01
160,10B,11_01,18_01
160,10B,11_01,19_01
160,10B,11_01,20_01
160,10B,11_01,21_01
160,10B,11_01,22_01
160,10B,12_01,17_01
160,10B,12_01,18_01
160,10B,12_01,19_01
160,10B,12_01,20_01
160,10B,12_01,21_01
160,10B,12_01,22_01
160,10B,13_01,17_01
160,10B,13_01,18_01
160,10B,13_01,19_01
160,10B,13_01,20_01
160,10B,13_01,21_01
160,10B,13_01,22_01
160,10B,17_01,11_02
160,10B,17_01,12_02
160,10B,17_01,13_02
160,10B,18_01,11_02
160,10B,18_01,12_02
160,10B,18_01,13_02
160,10B,19_01,11_02
160,10B,19_01,12_02
160,10B,19_01,13_02
160,10B,20_01,11_02
160,10B,20_01,12_02
160,10B,20_01,13_02
160,10B,21_01,11_02
160,10B,21_01,12_02
160,10B,21_01,13_02
160,10B,22_01,11_02
160,10B,22_01,12_02
160,10B,22_01,13_02
160,10B,24_01,28_01
160,10B,24_01,29_01
160,10B,24_01,30_01
160,10B,25_01,28_01
160,10B,25_01,29_01
160,10B,25_01,30_01
160,10B,26_01,31_01
160,10B,26_01,32_01
160,10B,27_01,31_01
160,10B,27_01,32_01
160,10B,28_01,31_01
160,10B,28_01,32_01
160,10B,28_02,24_02
160,10B,28_02,25_02
160,10B,29_02,24_02
160,10B,29_02,25_02
160,10B,30_02,24_02
160,10B,30_02,25_02
160,10B,33_01,26_01
160,10B,33_01,27_02
160,10B,33_01,28_02
160,10B,5_01,8_01
160,10B,5_01,9_01
160,10B,6_01,8_01
160,10B,6_01,9_01
160,10B,8_02,5_02
160,10B,8_02,6_02
160,10B,9_01,5_02
160,10B,9_01,6_02
180,10B,1_01,6_01
180,10B,1_01,7_01
180,10B,10_01,13_01
180,10B,10_01,14_01
180,10B,10_01,15_01
180,10B,10_01,16_01
180,10B,10_01,17_01
180,10B,10_01,18_01
180,10B,10_01,19_01
180,10B,10_01,20_01
180,10B,10_01,21_01
180,10B,10_01,22_01
180,10B,10_02,7_01
180,10B,10_02,8_02
180,10B,11_02,7_01
180,10B,11_02,8_02
180,10B,12_02,7_01
180,10B,12_02,8_02
180,10B,13_02,10_02
180,10B,13_02,9_01
180,10B,14_02,10_02
180,10B,14_02,9_01
180,10B,15_01,10_02
180,10B,15_01,9_01
180,10B,16_01,10_02
180,10B,16_01,9_01
180,10B,17_01,10_02
180,10B,17_01,9_01
180,10B,18_01,10_02
180,10B,18_01,9_01
180,10B,19_01,10_02
180,10B,19_01,9_01
180,10B,2_01,6_01
180,10B,2_01,7_01
180,10B,20_01,10_02
180,10B,20_01,9_01
180,10B,21_01,10_02
180,10B,21_01,9_01
180,10B,22_01,10_02
180,10B,22_01,9_01
180,10B,24_01,31_01
180,10B,24_01,32_01
180,10B,25_01,31_01
180,10B,25_01,32_01
180,10B,3_01,6_01
180,10B,3_01,7_01
180,10B,33_01,24_02
180,10B,33_01,25_02
180,10B,6_02,1_01
180,10B,6_02,2_01
180,10B,6_02,3_01
180,10B,7_01,1_01
180,10B,7_01,10_01
180,10B,7_01,11_01
180,10B,7_01,12_01
180,10B,7_01,2_01
180,10B,7_01,3_01
180,10B,8_01,10_01
180,10B,8_01,11_01
180,10B,8_01,12_01
180,10B,9_01,13_01
180,10B,9_01,14_01
180,10B,9_01,15_01
180,10B,9_01,16_01
180,10B,9_01,17_01
180,10B,9_01,18_01
180,10B,9_01,19_01
180,10B,9_01,20_01
180,10B,9_01,21_01
180,10B,9_01,22_01
190,10,26_01,19_01
190,10B,11_01,23_01
190,10B,12_01,23_01
190,10B,13_01,23_01
190,10B,14_01,24_01
190,10B,15_01,24_01
190,10B,16_01,24_01
190,10B,17_01,24_01
190,10B,18_01,25_01
190,10B,18_01,26_01
190,10B,18_01,27_01
190,10B,19_01,25_01
190,10B,19_01,26_01
190,10B,19_01,27_01
190,10B,20_01,25_01
190,10B,20_01,26_01
190,10B,20_01,27_01
190,10B,21_01,25_01
190,10B,21_01,26_01
190,10B,21_01,27_01
190,10B,22_01,25_01
190,10B,22_01,26_01
190,10B,22_01,27_01
190,10B,23_01,11_02
190,10B,23_01,12_02
190,10B,23_01,13_02
190,10B,23_01,28_01
190,10B,23_01,29_01
190,10B,23_01,30_01
190,10B,23_01,31_01
190,10B,23_01,32_01
190,10B,24_02,14_02
190,10B,24_02,15_01
190,10B,24_02,16_01
190,10B,24_02,17_01
190,10B,25_02,18_01
190,10B,25_02,19_01
190,10B,25_02,20_01
190,10B,25_02,21_01
190,10B,25_02,22_01
190,10B,26_01,18_01
190,10B,26_01,19_01
190,10B,26_01,20_01
190,10B,26_01,21_01
190,10B,26_01,22_01
190,10B,26_01,34_01
190,10B,26_01,35_01
190,10B,26_01,36_01
190,10B,26_01,37_01
190,10B,27_01,34_01
190,10B,27_01,35_01
190,10B,27_01,36_01
190,10B,27_01,37_01
190,10B,27_02,18_01
190,10B,27_02,19_01
190,10B,27_02,20_01
190,10B,27_02,21_01
190,10B,27_02,22_01
190,10B,28_01,34_01
190,10B,28_01,35_01
190,10B,28_01,36_01
190,10B,28_01,37_01
190,10B,28_02,23_01
190,10B,29_02,23_01
190,10B,30_02,23_01
190,10B,33_01,23_01
190,10B,34_02,26_01
190,10B,34_02,27_02
190,10B,34_02,28_02
190,10B,35_02,26_01
190,10B,35_02,27_02
190,10B,35_02,28_02
190,10B,36_02,26_01
190,10B,36_02,27_02
190,10B,36_02,28_02
190,10B,37_02,26_01
190,10B,37_02,27_02
190,10B,37_02,28_02
190,10B,4_01,8_01
190,10B,4_01,9_01
190,10B,8_02,4_01
190,10B,9_01,4_01
210,20,,
210,20B,,
210,30,,
210,30C,,
220,10B,10_01,23_01
220,10B,13_02,7_01
220,10B,13_02,8_02
220,10B,14_01,25_01
220,10B,14_01,26_01
220,10B,14_01,27_01
220,10B,14_02,7_01
220,10B,14_02,8_02
220,10B,15_01,25_01
220,10B,15_01,26_01
220,10B,15_01,27_01
220,10B,15_01,7_01
220,10B,15_01,8_02
220,10B,16_01,25_01
220,10B,16_01,26_01
220,10B,16_01,27_01
220,10B,16_01,7_01
220,10B,16_01,8_02
220,10B,17_01,25_01
220,10B,17_01,26_01
220,10B,17_01,27_01
220,10B,17_01,7_01
220,10B,17_01,8_02
220,10B,18_01,7_01
220,10B,18_01,8_02
220,10B,19_01,7_01
220,10B,19_01,8_02
220,10B,20_01,7_01
220,10B,20_01,8_02
220,10B,21_01,7_01
220,10B,21_01,8_02
220,10B,22_01,7_01
220,10B,22_01,8_02
220,10B,23_01,10_02
220,10B,23_01,9_01
220,10B,25_02,14_02
220,10B,25_02,15_01
220,10B,25_02,16_01
220,10B,25_02,17_01
220,10B,26_01,14_02
220,10B,26_01,15_01
220,10B,26_01,16_01
220,10B,26_01,17_01
220,10B,27_02,14_02
220,10B,27_02,15_01
220,10B,27_02,16_01
220,10B,27_02,17_01
220,10B,7_01,13_01
220,10B,7_01,14_01
220,10B,7_01,15_01
220,10B,7_01,16_01
220,10B,7_01,17_01
220,10B,7_01,18_01
220,10B,7_01,19_01
220,10B,7_01,20_01
220,10B,7_01,21_01
220,10B,7_01,22_01
220,10B,8_01,13_01
220,10B,8_01,14_01
220,10B,8_01,15_01
220,10B,8_01,16_01
220,10B,8_01,17_01
220,10B,8_01,18_01
220,10B,8_01,19_01
220,10B,8_01,20_01
220,10B,8_01,21_01
220,10B,8_01,22_01
220,10B,9_01,23_01
230,10B,1_01,8_01
230,10B,1_01,9_01
230,10B,11_01,24_01
230,10B,12_01,24_01
230,10B,13_01,24_01
230,10B,18_01,28_01
230,10B,18_01,29_01
230,10B,18_01,30_01
230,10B,18_01,31_01
230,10B,18_01,32_01
230,10B,19_01,28_01
230,10B,19_01,29_01
230,10B,19_01,30_01
230,10B,19_01,31_01
230,10B,19_01,32_01
230,10B,2_01,8_01
230,10B,2_01,9_01
230,10B,20_01,28_01
230,10B,20_01,29_01
230,10B,20_01,30_01
230,10B,20_01,31_01
230,10B,20_01,32_01
230,10B,21_01,28_01
230,10B,21_01,29_01
230,10B,21_01,30_01
230,10B,21_01,31_01
230,10B,21_01,32_01
230,10B,22_01,28_01
230,10B,22_01,29_01
230,10B,22_01,30_01
230,10B,22_01,31_01
230,10B,22_01,32_01
230,10B,24_02,11_02
230,10B,24_02,12_02
230,10B,24_02,13_02
230,10B,28_02,18_01
230,10B,28_02,19_01
230,10B,28_02,20_01
230,10B,28_02,21_01
230,10B,28_02,22_01
230,10B,29_02,18_01
230,10B,29_02,19_01
230,10B,29_02,20_01
230,10B,29_02,21_01
230,10B,29_02,22_01
230,10B,3_01,8_01
230,10B,3_01,9_01
230,10B,30_02,18_01
230,10B,30_02,19_01
230,10B,30_02,20_01
230,10B,30_02,21_01
230,10B,30_02,22_01
230,10B,33_01,18_01
230,10B,33_01,19_01
230,10B,33_01,20_01
230,10B,33_01,21_01
230,10B,33_01,22_01
230,10B,8_02,1_01
230,10B,8_02,2_01
230,10B,8_02,3_01
230,10B,9_01,1_01
230,10B,9_01,2_01
230,10B,9_01,3_01
240,10B,10_02,5_02
240,10B,10_02,6_02
240,10B,11_02,5_02
240,10B,11_02,6_02
240,10B,12_02,5_02
240,10B,12_02,6_02
240,10B,5_01,10_01
240,10B,5_01,11_01
240,10B,5_01,12_01
240,10B,6_01,10_01
240,10B,6_01,11_01
240,10B,6_01,12_01
250,10B,10_01,24_01
250,10B,11_01,25_01
250,10B,11_01,26_01
250,10B,11_01,27_01
250,10B,12_01,25_01
250,10B,12_01,26_01
250,10B,12_01,27_01
250,10B,13_01,25_01
250,10B,13_01,26_01
250,10B,13_01,27_01
250,10B,13_02,5_02
250,10B,13_02,6_02
250,10B,14_01,28_01
250,10B,14_01,29_01
250,10B,14_01,30_01
250,10B,14_01,31_01
250,10B,14_01,32_01
250,10B,14_02,5_02
250,10B,14_02,6_02
250,10B,15_01,28_01
250,10B,15_01,29_01
250,10B,15_01,30_01
250,10B,15_01,31_01
250,10B,15_01,32_01
250,10B,15_01,5_02
250,10B,15_01,6_02
250,10B,16_01,28_01
250,10B,16_01,29_01
250,10B,16_01,30_01
250,10B,16_01,31_01
250,10B,16_01,32_01
250,10B,16_01,5_02
250,10B,16_01,6_02
250,10B,17_01,28_01
250,10B,17_01,29_01
250,10B,17_01,30_01
250,10B,17_01,31_01
250,10B,17_01,32_01
250,10B,17_01,5_02
250,10B,17_01,6_02
250,10B,18_01,5_02
250,10B,18_01,6_02
250,10B,19_01,5_02
250,10B,19_01,6_02
250,10B,20_01,5_02
250,10B,20_01,6_02
250,10B,21_01,5_02
250,10B,21_01,6_02
250,10B,22_01,5_02
250,10B,22_01,6_02
250,10B,23_01,34_01
250,10B,23_01,35_01
250,10B,23_01,36_01
250,10B,23_01,37_01
250,10B,24_01,34_01
250,10B,24_01,35_01
250,10B,24_01,36_01
250,10B,24_01,37_01
250,10B,24_02,10_02
250,10B,24_02,9_01
250,10B,25_01,34_01
250,10B,25_01,35_01
250,10B,25_01,36_01
250,10B,25_01,37_01
250,10B,25_02,11_02
250,10B,25_02,12_02
250,10B,25_02,13_02
250,10B,26_01,11_02
250,10B,26_01,12_02
250,10B,26_01,13_02
250,10B,27_02,11_02
250,10B,27_02,12_02
250,10B,27_02,13_02
250,10B,28_02,14_02
250,10B,28_02,15_01
250,10B,28_02,16_01
250,10B,28_02,17_01
250,10B,29_02,14_02
250,10B,29_02,15_01
250,10B,29_02,16_01
250,10B,29_02,17_01
250,10B,30_02,14_02
250,10B,30_02,15_01
250,10B,30_02,16_01
250,10B,30_02,17_01
250,10B,33_01,14_02
250,10B,33_01,15_01
250,10B,33_01,16_01
250,10B,33_01,17_01
250,10B,34_02,23_01
250,10B,34_02,24_02
250,10B,34_02,25_02
250,10B,35_02,23_01
250,10B,35_02,24_02
250,10B,35_02,25_02
250,10B,36_02,23_01
250,10B,36_02,24_02
250,10B,36_02,25_02
250,10B,37_02,23_01
250,10B,37_02,24_02
250,10B,37_02,25_02
250,10B,5_01,13_01
250,10B,5_01,14_01
250,10B,5_01,15_01
250,10B,5_01,16_01
250,10B,5_01,17_01
250,10B,5_01,18_01
250,10B,5_01,19_01
250,10B,5_01,20_01
250,10B,5_01,21_01
250,10B,5_01,22_01
250,10B,6_01,13_01
250,10B,6_01,14_01
250,10B,6_01,15_01
250,10B,6_01,16_01
250,10B,6_01,17_01
250,10B,6_01,18_01
250,10B,6_01,19_01
250,10B,6_01,20_01
250,10B,6_01,21_01
250,10B,6_01,22_01
250,10B,9_01,24_01
260,10B,10_01,25_01
260,10B,10_01,26_01
260,10B,10_01,27_01
260,10B,10_02,4_01
260,10B,11_02,4_01
260,10B,12_02,4_01
260,10B,23_01,7_01
260,10B,23_01,8_02
260,10B,25_02,10_02
260,10B,25_02,9_01
260,10B,26_01,10_02
260,10B,26_01,9_01
260,10B,27_02,10_02
260,10B,27_02,9_01
260,10B,4_01,10_01
260,10B,4_01,11_01
260,10B,4_01,12_01
260,10B,7_01,23_01
260,10B,8_01,23_01
260,10B,9_01,25_01
260,10B,9_01,26_01
260,10B,9_01,27_01
270,10B,13_02,4_01
270,10B,14_02,4_01
270,10B,15_01,4_01
270,10B,16_01,4_01
270,10B,17_01,4_01
270,10B,18_01,4_01
270,10B,19_01,4_01
270,10B,20_01,4_01
270,10B,21_01,4_01
270,10B,22_01,4_01
270,10B,24_02,7_01
270,10B,24_02,8_02
270,10B,4_01,13_01
270,10B,4_01,14_01
270,10B,4_01,15_01
270,10B,4_01,16_01
270,10B,4_01,17_01
270,10B,4_01,18_01
270,10B,4_01,19_01
270,10B,4_01,20_01
270,10B,4_01,21_01
270,10B,4_01,22_01
270,10B,7_01,24_01
270,10B,8_01,24_01
290,10B,1_01,10_01
290,10B,1_01,11_01
290,10B,1_01,12_01
290,10B,10_02,1_01
290,10B,10_02,2_01
290,10B,10_02,3_01
290,10B,11_01,28_01
290,10B,11_01,29_01
290,10B,11_01,30_01
290,10B,11_01,31_01
290,10B,11_01,32_01
290,10B,11_02,1_01
290,10B,11_02,2_01
290,10B,11_02,3_01
290,10B,12_01,28_01
290,10B,12_01,29_01
290,10B,12_01,30_01
290,10B,12_01,31_01
290,10B,12_01,32_01
290,10B,12_02,1_01
290,10B,12_02,2_01
290,10B,12_02,3_01
290,10B,13_01,28_01
290,10B,13_01,29_01
290,10B,13_01,30_01
290,10B,13_01,31_01
290,10B,13_01,32_01
290,10B,2_01,10_01
290,10B,2_01,11_01
290,10B,2_01,12_01
290,10B,28_02,11_02
290,10B,28_02,12_02
290,10B,28_02,13_02
290,10B,29_02,11_02
290,10B,29_02,12_02
290,10B,29_02,13_02
290,10B,3_01,10_01
290,10B,3_01,11_01
290,10B,3_01,12_01
290,10B,30_02,11_02
290,10B,30_02,12_02
290,10B,30_02,13_02
290,10B,33_01,11_02
290,10B,33_01,12_02
290,10B,33_01,13_02
300,10B,23_01,5_02
300,10B,23_01,6_02
300,10B,5_01,23_01
300,10B,6_01,23_01
310,10B,1_01,13_01
310,10B,1_01,14_01
310,10B,1_01,15_01
310,10B,1_01,16_01
310,10B,1_01,17_01
310,10B,1_01,18_01
310,10B,1_01,19_01
310,10B,1_01,20_01
310,10B,1_01,21_01
310,10B,1_01,22_01
310,10B,1_01,23_01
310,10B,1_01,24_01
310,10B,1_01,25_01
310,10B,1_01,26_01
310,10B,1_01,27_01
310,10B,1_01,28_01
310,10B,1_01,29_01
310,10B,1_01,30_01
310,10B,1_01,31_01
310,10B,1_01,32_01
310,10B,1_01,34_01
310,10B,1_01,35_01
310,10B,1_01,36_01
310,10B,1_01,37_01
310,10B,10_01,28_01
310,10B,10_01,29_01
310,10B,10_01,30_01
310,10B,10_01,31_01
310,10B,10_01,32_01
310,10B,10_01,34_01
310,10B,10_01,35_01
310,10B,10_01,36_01
310,10B,10_01,37_01
310,10B,11_01,34_01
310,10B,11_01,35_01
310,10B,11_01,36_01
310,10B,11_01,37_01
310,10B,12_01,34_01
310,10B,12_01,35_01
310,10B,12_01,36_01
310,10B,12_01,37_01
310,10B,13_01,34_01
310,10B,13_01,35_01
310,10B,13_01,36_01
310,10B,13_01,37_01
310,10B,13_02,1_01
310,10B,13_02,2_01
310,10B,13_02,3_01
310,10B,14_01,34_01
310,10B,14_01,35_01
310,10B,14_01,36_01
310,10B,14_01,37_01
310,10B,14_02,1_01
310,10B,14_02,2_01
310,10B,14_02,3_01
310,10B,15_01,1_01
310,10B,15_01,2_01
310,10B,15_01,3_01
310,10B,15_01,34_01
310,10B,15_01,35_01
310,10B,15_01,36_01
310,10B,15_01,37_01
310,10B,16_01,1_01
310,10B,16_01,2_01
310,10B,16_01,3_01
310,10B,16_01,34_01
310,10B,16_01,35_01
310,10B,16_01,36_01
310,10B,16_01,37_01
310,10B,17_01,1_01
310,10B,17_01,2_01
310,10B,17_01,3_01
310,10B,17_01,34_01
310,10B,17_01,35_01
310,10B,17_01,36_01
310,10B,17_01,37_01
310,10B,18_01,1_01
310,10B,18_01,2_01
310,10B,18_01,3_01
310,10B,18_01,34_01
310,10B,18_01,35_01
310,10B,18_01,36_01
310,10B,18_01,37_01
310,10B,19_01,1_01
310,10B,19_01,2_01
310,10B,19_01,3_01
310,10B,19_01,34_01
310,10B,19_01,35_01
310,10B,19_01,36_01
310,10B,19_01,37_01
310,10B,2_01,13_01
310,10B,2_01,14_01
310,10B,2_01,15_01
310,10B,2_01,16_01
310,10B,2_01,17_01
310,10B,2_01,18_01
310,10B,2_01,19_01
310,10B,2_01,20_01
310,10B,2_01,21_01
310,10B,2_01,22_01
310,10B,2_01,23_01
310,10B,2_01,24_01
310,10B,2_01,25_01
310,10B,2_01,26_01
310,10B,2_01,27_01
310,10B,2_01,28_01
310,10B,2_01,29_01
310,10B,2_01,30_01
310,10B,2_01,31_01
310,10B,2_01,32_01
310,10B,2_01,34_01
310,10B,2_01,35_01
310,10B,2_01,36_01
310,10B,2_01,37_01
310,10B,20_01,1_01
310,10B,20_01,2_01
310,10B,20_01,3_01
310,10B,20_01,34_01
310,10B,20_01,35_01
310,10B,20_01,36_01
310,10B,20_01,37_01
310,10B,21_01,1_01
310,10B,21_01,2_01
310,10B,21_01,3_01
310,10B,21_01,34_01
310,10B,21_01,35_01
310,10B,21_01,36_01
310,10B,21_01,37_01
310,10B,22_01,1_01
310,10B,22_01,2_01
310,10B,22_01,3_01
310,10B,22_01,34_01
310,10B,22_01,35_01
310,10B,22_01,36_01
310,10B,22_01,37_01
310,10B,23_01,1_01
310,10B,23_01,2_01
310,10B,23_01,3_01
310,10B,23_01,4_01
310,10B,24_02,1_01
310,10B,24_02,2_01
310,10B,24_02,3_01
310,10B,24_02,4_01
310,10B,24_02,5_02
310,10B,24_02,6_02
310,10B,25_02,1_01
