stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
1_01,,米沢スキー場前,,37.863098,140.231997,1_01,,0,
10_01,,工業団地入口,,37.895684,140.162863,10_01,,0,
10_02,,工業団地入口,,37.895615,140.163126,10_02,,0,
11_01,,テクノセンター前,,37.902993,140.165917,11_01,,0,
11_02,,テクノセンター前,,37.90308,140.165929,11_02,,0,
12_01,,万世小学校前,,37.902677,140.163007,12_01,,0,
12_02,,万世小学校前,,37.902781,140.163091,12_02,,0,
13_01,,牛森,,37.902888,140.159887,13_01,,0,
13_02,,牛森,,37.902985,140.159835,13_02,,0,
14_01,,桑山団地東,,37.903299,140.155491,14_01,,0,
14_02,,桑山団地東,,37.903377,140.155606,14_02,,0,
15_01,,桑山団地中,,37.903678,140.153163,15_01,,0,
16_01,,桑山公園前,,37.902716,140.151014,16_01,,0,
17_01,,桑山団地西,,37.901314,140.149631,17_01,,0,
18_01,,アルカディア,,37.911237,140.142785,18_01,,0,
19_01,,米工前,,37.916316,140.145977,19_01,,0,
2_01,,川越石,,37.870669,140.220056,2_01,,0,
20_01,,七中前,,37.920626,140.146128,20_01,,0,
21_01,,金谷口,,37.901408,140.147512,21_01,,0,
22_01,,桑山団地口,,37.898569,140.147017,22_01,,0,
23_01,,片子,,37.900594,140.135152,23_01,,0,
24_01,,東大通,,37.903339,140.132645,24_01,,0,
24_02,,東大通,,37.903765,140.13224,24_02,,0,
25_01,,東一丁目,,37.906248,140.127306,25_01,,0,
25_02,,東一丁目,,37.906154,140.127457,25_02,,0,
26_01,,米沢駅前,,37.909013,140.128138,26_01,,0,
27_01,,米沢営業所,,37.910214,140.123648,27_01,,0,
27_02,,米沢営業所,,37.910259,140.124146,27_02,,0,
28_01,,駅前四丁目,,37.91088,140.120057,28_01,,0,
28_02,,駅前四丁目,,37.910689,140.121759,28_02,,0,
29_01,,住之江橋,　,37.911354,140.115704,29_01,,0,
29_02,,住之江橋,,37.911229,140.116934,29_02,,0,
3_01,,刈安,,37.87175,140.2079,3_01,,0,
30_01,,大町,,37.911711,140.113521,30_01,,0,
30_02,,大町,,37.912414,140.112977,30_02,,0,
31_01,,ナセＢＡ前,,37.912382,140.110224,31_01,,0,
32_01,,皇大神社前,,37.915001,140.109704,32_01,,0,
33_01,,中央一丁目,,37.915077,140.110812,33_01,,0,
34_01,,中央三丁目,,37.917232,140.110313,34_01,,0,
34_02,,中央三丁目,,37.91776,140.110563,34_02,,0,
35_01,,中央五丁目,,37.919664,140.109132,35_01,,0,
35_02,,中央五丁目,,37.920202,140.109373,35_02,,0,
36_01,,春日一丁目,,37.921361,140.11019,36_01,,0,
36_02,,春日一丁目,,37.921879,140.110551,36_02,,0,
37_01,,米沢市役所前,,37.921524,140.116264,37_01,,0,
37_02,,米沢市役所前,,37.921346,140.11617,37_02,,0,
38_01,,駅前二丁目,,37.909219,140.12512,38_01,,0,
38_02,,駅前二丁目,,37.90927,140.124488,38_02,,0,
39_01,,舟山病院前,,37.909106,140.122879,39_01,,0,
39_02,,舟山病院前,,37.909151,140.122178,39_02,,0,
4_01,,福祉の里入口,,37.884021,140.193595,4_01,,0,
40_01,,相生橋西,,37.907855,140.117623,40_01,,0,
40_02,,相生橋西,,37.908091,140.117441,40_02,,0,
41_02,,県営相生ｱﾊﾟｰﾄ東,,37.905049,140.11675,41_02,,0,
42_01,,市立病院前,,37.905467,140.118408,42_01,,0,
