,from_stop_id,to_stop_id,transfer_type,min_transfer_time
0,10_01,10_02,2,-100
1,10_02,10_01,2,-100
2,11_01,11_02,2,-100
3,11_02,11_01,2,-100
4,12_01,12_02,2,-100
5,12_02,12_01,2,-100
6,13_01,13_02,2,-100
7,13_02,13_01,2,-100
8,14_01,14_02,2,-100
9,14_01,15_01,2,120
10,14_02,14_01,2,-100
11,14_02,15_01,2,120
12,15_01,14_01,2,120
13,15_01,14_02,2,120
14,15_01,16_01,2,120
15,16_01,15_01,2,120
16,16_01,17_01,2,120
17,17_01,16_01,2,120
18,17_01,21_01,2,120
19,21_01,17_01,2,120
20,24_01,24_02,2,-100
21,24_02,24_01,2,-100
22,25_01,25_02,2,-100
23,25_02,25_01,2,-100
24,27_01,27_02,2,-100
25,27_01,28_02,2,120
26,27_01,38_01,2,120
27,27_01,38_02,2,60
28,27_01,39_01,2,60
29,27_01,39_02,2,120
30,27_02,27_01,2,-100
31,27_02,28_02,2,120
32,27_02,38_01,2,60
33,27_02,38_02,2,60
34,27_02,39_01,2,120
35,27_02,39_02,2,120
36,28_01,28_02,2,60
37,28_02,27_01,2,120
38,28_02,27_02,2,120
39,28_02,28_01,2,60
40,28_02,39_01,2,120
41,28_02,39_02,2,120
42,29_01,29_02,2,60
43,29_01,30_01,2,120
44,29_02,29_01,2,60
45,30_01,29_01,2,120
46,30_01,30_02,2,60
47,30_02,30_01,2,60
48,31_01,87_01,2,120
49,31_01,87_02,2,60
50,32_01,33_01,2,60
51,32_01,60_02,2,120
52,32_01,61_01,2,-100
53,32_01,61_02,2,-100
54,33_01,32_01,2,60
55,33_01,61_01,2,60
56,33_01,61_02,2,60
57,34_01,34_02,2,-100
58,34_01,61_01,2,120
59,34_02,34_01,2,-100
60,35_01,35_02,2,-100
61,35_01,36_01,2,120
62,35_01,62_01,2,60
63,35_01,62_02,2,60
64,35_02,35_01,2,-100
65,35_02,36_01,2,60
66,35_02,36_02,2,120
67,35_02,62_01,2,120
68,35_02,62_02,2,120
69,36_01,35_01,2,120
70,36_01,35_02,2,60
71,36_01,36_02,2,-100
72,36_01,67_01,2,120
73,36_01,67_02,2,120
74,36_02,35_02,2,120
75,36_02,36_01,2,-100
76,36_02,67_01,2,120
77,36_02,67_02,2,120
78,37_01,37_02,2,-100
79,37_02,37_01,2,-100
80,38_01,27_01,2,120
81,38_01,27_02,2,60
82,38_01,38_02,2,-100
83,38_01,39_01,2,120
84,38_02,27_01,2,60
85,38_02,27_02,2,60
86,38_02,38_01,2,-100
87,38_02,39_01,2,60
88,38_02,39_02,2,120
89,39_01,27_01,2,60
90,39_01,27_02,2,120
91,39_01,28_02,2,120
92,39_01,38_01,2,120
93,39_01,38_02,2,60
94,39_01,39_02,2,-100
95,39_02,27_01,2,120
96,39_02,27_02,2,120
97,39_02,28_02,2,120
98,39_02,38_02,2,120
99,39_02,39_01,2,-100
100,40_01,40_02,2,-100
101,40_02,40_01,2,-100
102,41_02,42_01,2,60
103,42_01,41_02,2,60
104,45_01,45_02,2,-100
105,45_02,45_01,2,-100
106,46_01,46_02,2,-100
107,46_01,84_01,2,120
108,46_01,84_02,2,120
109,46_02,46_01,2,-100
110,46_02,84_01,2,120
111,46_02,84_02,2,120
112,47_01,47_02,2,-100
113,47_01,86_01,2,120
114,47_01,86_02,2,120
115,47_02,47_01,2,-100
116,47_02,86_01,2,120
117,47_02,86_02,2,120
118,48_01,48_02,2,-100
119,48_01,49_01,2,120
120,48_01,86_01,2,60
121,48_01,86_02,2,60
